"Reference","Qty","Value","Footprint","Vendor","PartNum"
"C1,C2","2","22u 50V","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","",""
"C3","1","100n","Capacitor_SMD:C_0805_2012Metric","",""
"D1,D2","2","BAT54S","Package_TO_SOT_SMD:SOT-23","Mouser","863-BAT54SLT1G"
"J1","1","Conn_02x05_Odd_Even","Eurorack:PinHeader_2x05_P2.54mm_Vertical","Tayda","A-2939"
"J2","1","in0","Eurorack:AudioJack2_Tayda_A-2566","Tayda","A-2566"
"J3","1","in1","Eurorack:AudioJack2_Tayda_A-2566","Tayda","A-2566"
"J4","1","in2","Eurorack:AudioJack2_Tayda_A-2566","Tayda","A-2566"
"J5","1","out","Eurorack:AudioJack2_Tayda_A-2566","Tayda","A-2566"
"J6,J8","2","Conn_01x03_Pin","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","",""
"J7,J9","2","Conn_01x03_Socket","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","",""
"M1,M2","2","Standoff","Eurorack:Standoff_M2.5x0.45-11mm","Digikey","732-10549-ND"
"M3,M4,M5,M6","4","Screw","Eurorack:Screw_M2.5x0.45-6mm","Digikey","36-29301-ND"
"R1,R2","2","10","Resistor_SMD:R_0805_2012Metric","",""
"R3,R4,R5,R6,R7,R8","6","100K","Resistor_SMD:R_0805_2012Metric","",""
"R9","1","1K","Resistor_SMD:R_0805_2012Metric","",""
"U1","1","TL072","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","Mouser","595-TL072CDR"
